country,date,daily_vaccinations,vaccines
Argentina,12/29/2020,6483.0,Sputnik V
Argentina,12/30/2020,15656.0,Sputnik V
Argentina,12/31/2020,15656.0,Sputnik V
Argentina,1/1/2021,11070.0,Sputnik V
Argentina,1/2/2021,8776.0,Sputnik V
Argentina,1/3/2021,7400.0,Sputnik V
Argentina,1/4/2021,6483.0,Sputnik V
Argentina,1/5/2021,7984.0,Sputnik V
Argentina,1/6/2021,8173.0,Sputnik V
Argentina,1/7/2021,8363.0,Sputnik V
Argentina,1/8/2021,10519.0,Sputnik V
Argentina,1/9/2021,11942.0,Sputnik V
Argentina,1/10/2021,13365.0,Sputnik V
Argentina,1/11/2021,14788.0,Sputnik V
Argentina,1/12/2021,14056.0,Sputnik V
Argentina,1/13/2021,13323.0,Sputnik V
Argentina,1/14/2021,13320.0,Sputnik V
Argentina,1/15/2021,13317.0,Sputnik V
Argentina,1/16/2021,12971.0,Sputnik V
Argentina,1/17/2021,12624.0,Sputnik V
Argentina,1/18/2021,12278.0,Sputnik V
Argentina,1/19/2021,11932.0,Sputnik V
Argentina,1/20/2021,11586.0,Sputnik V
Argentina,1/21/2021,11704.0,Sputnik V
Argentina,1/22/2021,11263.0,Sputnik V
Argentina,1/23/2021,11124.0,Sputnik V
Argentina,1/24/2021,10342.0,Sputnik V
Argentina,1/25/2021,9046.0,Sputnik V
Austria,1/5/2021,3368.0,Pfizer/BioNTech
Austria,1/6/2021,3368.0,Pfizer/BioNTech
Austria,1/7/2021,3368.0,Pfizer/BioNTech
Austria,1/8/2021,7263.0,Pfizer/BioNTech
Austria,1/9/2021,5791.0,Pfizer/BioNTech
Austria,1/10/2021,4705.0,Pfizer/BioNTech
Austria,1/11/2021,5031.0,Pfizer/BioNTech
Austria,1/12/2021,6366.0,Pfizer/BioNTech
Austria,1/13/2021,7365.0,Pfizer/BioNTech
Austria,1/14/2021,8429.0,Pfizer/BioNTech
Austria,1/15/2021,7747.0,Pfizer/BioNTech
Austria,1/16/2021,7953.0,Pfizer/BioNTech
Austria,1/17/2021,10129.0,Pfizer/BioNTech
Austria,1/18/2021,11852.0,Pfizer/BioNTech
Austria,1/19/2021,12472.0,Pfizer/BioNTech
Austria,1/20/2021,12489.0,Pfizer/BioNTech
Austria,1/21/2021,12552.0,Pfizer/BioNTech
Austria,1/22/2021,11797.0,Pfizer/BioNTech
Austria,1/23/2021,11765.0,Pfizer/BioNTech
Austria,1/24/2021,9622.0,Pfizer/BioNTech
Bahrain,12/23/2020,943.0,"Pfizer/BioNTech, Sinopharm"
Bahrain,12/24/2020,11106.0,"Pfizer/BioNTech, Sinopharm"
